High,Month,Model_ID,AI_Service,Department,Transactions_Processed,Accuracy_Score,Prediction_Confidence,Bias_Flag_Count,Manual_Override_Count,Customer_Complaints,Compliance_Violations,Cloud_Resource_Cost,Avg_Response_Time,Failed_Decisions,Risk_Level,Compliance_Status,Region
RID0140,Nov,M102,Customer Support Chatbot,Operations,2717,78.3,80.73,8,16,44,0,6653,6.07,161,High,Compliant,Scotland
RID0141,Nov,M104,Loan Approval AI,Customer Service,4115,92.17,91.3,6,49,5,0,3066,1.63,48,Medium,Compliant,London
RID0142,Apr,M101,Resume Screening AI,Operations,2933,92.08,91.43,8,33,18,2,8462,6.31,50,High,Review Required,Midlands
RID0143,Nov,M105,Inventory Forecast AI,HR,1917,72.97,76.01,6,44,18,4,9885,6.32,207,Critical,Violation,Scotland
RID0144,Mar,M103,Fraud Detection AI,Finance,1202,89.42,89.51,5,80,20,8,4349,3.47,72,Critical,Violation,London
RID0145,Feb,M104,Loan Approval AI,Sales,1943,73.67,76.4,8,48,22,4,3913,4.38,199,Critical,Violation,Midlands
RID0146,May,M104,Loan Approval AI,Operations,3521,80.77,82.39,3,56,17,5,3350,2.29,145,High,Violation,North UK
RID0147,Aug,M101,Resume Screening AI,HR,1108,66.78,71.2,8,11,8,3,3751,5.32,250,Critical,Review Required,London
RID0148,Nov,M103,Fraud Detection AI,Finance,4900,82.68,84,0,55,1,5,3475,2.19,128,High,Violation,North UK
RID0149,Mar,M104,Loan Approval AI,Operations,4145,72.62,75.8,2,19,10,3,8561,6.77,210,Critical,Review Required,North UK
RID0150,Apr,M103,Fraud Detection AI,Sales,4173,79.76,80.99,6,69,3,3,6983,3.06,153,High,Review Required,Midlands
RID0151,Jan,M103,Fraud Detection AI,Sales,4907,92.43,92.13,5,69,19,6,3816,2.43,46,High,Violation,Midlands
RID0152,Nov,M103,Fraud Detection AI,Sales,4493,69.25,73.08,5,50,11,10,6717,3.6,238,Critical,Violation,Midlands
RID0153,Oct,M103,Fraud Detection AI,Finance,3200,74.6,77.63,1,88,24,8,7152,2.86,193,Critical,Violation,Scotland
RID0154,Nov,M101,Resume Screening AI,Customer Service,2372,67.61,71.16,10,12,1,0,6857,3.3,250,Critical,Compliant,Midlands
RID0155,Nov,M105,Inventory Forecast AI,Operations,1590,90.97,90.29,8,55,7,0,12856,3.58,58,High,Compliant,Scotland
RID0156,Jan,M102,Customer Support Chatbot,Customer Service,4409,73.66,77.16,7,8,35,4,3772,9.82,195,Critical,Violation,North UK
RID0157,May,M102,Customer Support Chatbot,Finance,830,80.65,82.17,4,7,48,0,8763,10.51,142,High,Compliant,London
RID0158,Aug,M102,Customer Support Chatbot,Sales,1596,84,84.97,4,34,37,5,6385,5.66,115,High,Violation,Midlands
RID0159,Jan,M102,Customer Support Chatbot,Sales,2835,96.2,95.12,4,16,38,2,4267,8.4,18,Medium,Review Required,North UK
RID0160,Jan,M102,Customer Support Chatbot,Sales,3039,95.84,95.04,3,37,20,4,8120,8.13,18,High,Violation,London
RID0161,Apr,M105,Inventory Forecast AI,HR,3957,67.39,71.56,4,26,24,5,10515,4.94,245,Critical,Violation,Scotland
RID0162,Sep,M102,Customer Support Chatbot,Finance,2446,68.56,72.08,3,47,25,3,6998,6.12,243,Critical,Review Required,London
RID0163,Dec,M104,Loan Approval AI,Operations,2535,72.78,75.45,1,12,25,3,3520,3.58,206,Critical,Review Required,Midlands
RID0164,Jan,M102,Customer Support Chatbot,Finance,4487,84,84.67,7,10,29,0,6844,7.13,118,High,Compliant,Midlands
RID0165,May,M104,Loan Approval AI,Finance,1458,80.57,81.98,6,31,11,1,5213,4.46,144,High,Review Required,North UK
RID0166,Feb,M101,Resume Screening AI,HR,2624,80.99,81.93,10,10,13,3,3244,6.79,142,High,Review Required,London
RID0167,Feb,M102,Customer Support Chatbot,Customer Service,2500,79.6,81.27,5,16,48,5,3307,9.02,153,High,Violation,Scotland
RID0168,May,M102,Customer Support Chatbot,Finance,2309,85.54,85.62,1,57,46,3,7478,7.84,105,Medium,Review Required,London
RID0169,Jan,M105,Inventory Forecast AI,Sales,4240,81.79,83.09,6,35,7,0,11946,5.63,136,High,Compliant,Scotland
RID0170,Jun,M105,Inventory Forecast AI,Sales,3349,87.88,87.63,4,35,5,1,9643,3.95,87,Medium,Review Required,Scotland
RID0171,Feb,M104,Loan Approval AI,Sales,2013,78.79,80.02,8,23,8,2,7685,2.28,161,High,Review Required,London
RID0172,Nov,M102,Customer Support Chatbot,Finance,3588,82.22,83.33,1,5,38,4,4125,10.62,130,High,Violation,Scotland
RID0173,Jul,M105,Inventory Forecast AI,Finance,3182,97.66,95.71,6,38,11,5,11773,3.82,10,High,Violation,Midlands
RID0174,Dec,M102,Customer Support Chatbot,Customer Service,3243,94.06,92.78,8,49,39,5,2196,5.84,35,High,Violation,Midlands
RID0175,Jul,M105,Inventory Forecast AI,HR,3580,97.1,94.88,8,45,24,1,14866,6.41,12,High,Review Required,London
RID0176,Feb,M102,Customer Support Chatbot,Customer Service,1868,89.45,89.11,0,44,17,5,6262,7.54,74,High,Violation,Midlands
RID0177,Feb,M105,Inventory Forecast AI,Operations,4015,92.77,91.64,6,28,11,4,11155,6.99,46,High,Violation,London
RID0178,Mar,M102,Customer Support Chatbot,Customer Service,3218,95.6,94.53,4,38,17,1,8062,9.51,22,Medium,Review Required,Scotland
RID0179,Mar,M105,Inventory Forecast AI,Finance,4325,83.8,84.38,8,29,14,2,10374,3.03,118,High,Review Required,North UK
RID0180,Dec,M105,Inventory Forecast AI,Customer Service,2797,79.82,81.83,8,22,8,4,10164,2.8,151,High,Violation,Midlands
RID0181,Apr,M102,Customer Support Chatbot,Operations,1160,88.49,88.32,7,21,48,5,7447,9.94,79,High,Violation,London
RID0182,Jan,M103,Fraud Detection AI,Customer Service,4391,90.32,90.23,7,67,7,3,5670,1.67,66,High,Review Required,London
RID0183,Jan,M104,Loan Approval AI,Sales,3577,75.54,78.74,5,58,9,0,2297,4.12,181,Critical,Compliant,Scotland
RID0184,Oct,M102,Customer Support Chatbot,Finance,4776,89.26,89.03,7,48,17,1,4015,6.99,73,High,Review Required,North UK
RID0185,May,M102,Customer Support Chatbot,Finance,4854,89.77,89.75,3,10,47,4,5644,7.56,69,High,Violation,North UK
RID0186,Aug,M102,Customer Support Chatbot,HR,2797,78.57,80.49,4,50,25,1,8030,10.57,163,High,Review Required,London
RID0187,Jun,M104,Loan Approval AI,HR,1895,96.59,94.74,6,8,17,5,6461,4.11,15,High,Violation,Midlands
RID0188,Aug,M102,Customer Support Chatbot,Sales,3102,95.16,93.38,8,50,38,1,4533,6.57,29,High,Review Required,London
RID0189,Apr,M105,Inventory Forecast AI,Sales,4189,95.44,93.79,4,57,11,1,14066,3.7,28,Medium,Review Required,North UK
RID0190,Jun,M103,Fraud Detection AI,Finance,2278,76.08,78,2,93,22,6,5232,5.05,183,Critical,Violation,North UK
RID0191,Jan,M103,Fraud Detection AI,Sales,805,94.84,93.92,5,48,15,7,7129,5.06,30,Critical,Violation,Scotland
RID0192,Dec,M101,Resume Screening AI,Customer Service,2408,86.12,86.57,15,43,24,1,7767,4.79,98,Critical,Review Required,North UK
RID0193,Feb,M102,Customer Support Chatbot,HR,3396,72.34,75.73,2,9,22,4,8588,5.72,210,Critical,Violation,London
RID0194,Feb,M104,Loan Approval AI,Customer Service,4857,78.7,80.4,5,24,10,0,3564,5.5,161,High,Compliant,Midlands
RID0195,Dec,M104,Loan Approval AI,HR,1620,79.34,81.34,0,56,20,5,6850,2.17,152,High,Violation,North UK
RID0196,Feb,M105,Inventory Forecast AI,Operations,3828,87.39,88.32,6,50,12,4,13124,2.74,86,High,Violation,London
RID0197,Jan,M105,Inventory Forecast AI,Finance,1515,73.35,76.42,8,49,24,1,13691,3.94,203,Critical,Review Required,Scotland
RID0198,Jan,M104,Loan Approval AI,Customer Service,2034,73.92,76.87,2,37,5,0,5176,6.37,200,Critical,Compliant,London
RID0199,Oct,M103,Fraud Detection AI,Customer Service,4488,95.66,94.3,1,64,22,5,7844,1.75,22,High,Violation,Midlands
RID0200,Mar,M103,Fraud Detection AI,Customer Service,1138,97.07,95.49,3,74,14,7,2450,3.6,14,Critical,Violation,London
RID0201,Jul,M102,Customer Support Chatbot,Sales,4874,79.1,80.71,6,7,36,0,7665,8.42,157,High,Compliant,London
RID0202,Dec,M104,Loan Approval AI,Customer Service,4249,77.01,78.82,0,9,23,0,8007,2.29,175,High,Compliant,North UK
RID0203,May,M103,Fraud Detection AI,Customer Service,4451,77.88,79.8,0,45,8,7,4012,4.43,166,Critical,Violation,Midlands
RID0204,May,M105,Inventory Forecast AI,HR,1978,87.57,87.85,6,60,11,5,14482,4.04,86,High,Violation,Scotland
RID0205,Feb,M103,Fraud Detection AI,Customer Service,2024,72.51,75.69,7,61,13,7,2622,2.74,204,Critical,Violation,North UK
RID0206,Jan,M104,Loan Approval AI,Operations,4262,89.87,89.48,1,49,15,3,5758,1.14,69,Medium,Review Required,Midlands
RID0207,May,M104,Loan Approval AI,Operations,3288,92.31,91.08,4,11,19,3,6730,2.4,52,Medium,Review Required,Midlands
RID0208,Sep,M103,Fraud Detection AI,Sales,2949,80.38,82.38,3,44,16,4,6169,4.28,142,High,Violation,Scotland
RID0209,Aug,M104,Loan Approval AI,Customer Service,1947,89.09,88.89,3,47,18,1,5026,1.95,75,Medium,Review Required,Midlands
RID0210,May,M104,Loan Approval AI,HR,2754,83.57,84.51,5,6,2,5,8027,5.56,116,High,Violation,Scotland
